BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.4686;Name=hypothetical protein	2	8	3	8	4	7	13	4	5	4	10	0	2	4	2
ID=fig|671267.8.peg.4687;Name=Pirin	7	4	6	27	27	23	30	20	29	19	54	14	6	10	4
ID=fig|671267.8.peg.4688;Name=6%2C7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78);Ontology_term=KEGG_ENZYME:2.5.1.78	10	4	8	22	40	12	25	0	0	26	28	21	12	10	2
ID=fig|671267.8.peg.4689;Name=FIG170660: TPR domain protein	174	74	58	42	134	48	119	10	9	142	192	70	74	48	26
ID=fig|671267.8.peg.4690;Name=DNA recombination and repair protein RecF	13	20	4	9	20	2	12	2	5	18	36	26	12	8	4
ID=fig|671267.8.peg.4691;Name=Zn-ribbon-containing%2C possibly RNA-binding protein and truncated derivatives	29	19	18	9	19	2	16	0	8	22	20	7	10	19	6
ID=fig|671267.8.peg.4692;Name=5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2);Ontology_term=KEGG_ENZYME:6.3.3.2	50	60	48	32	69	37	43	10	18	73	123	71	29	74	42
ID=fig|671267.8.peg.4693;Name=Carboxy-terminal processing protease	191	234	206	147	256	133	144	43	55	273	338	286	86	171	82
ID=fig|671267.8.peg.4694;Name=dCMP deaminase (EC 3.5.4.12);Ontology_term=KEGG_ENZYME:3.5.4.12	39	52	56	29	119	40	41	25	15	62	48	60	31	26	31
ID=fig|671267.8.peg.4695;Name=hypothetical protein	22	14	21	36	47	11	35	8	6	63	102	90	8	5	25
ID=fig|671267.8.peg.4696;Name=Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5);Ontology_term=KEGG_ENZYME:3.4.15.5	78	118	127	222	419	209	340	100	105	256	275	221	114	159	138
ID=fig|671267.8.peg.4697;Name=Hcp transcriptional regulator HcpR (Crp/Fnr family)	76	44	48	70	54	48	96	22	54	74	123	54	67	54	46
ID=fig|671267.8.peg.4698;Name=MarC family integral membrane protein	53	37	39	31	72	29	35	8	20	53	64	33	14	28	22
ID=fig|671267.8.peg.4699;Name=FAD:protein FMN transferase (EC 2.7.1.180);Ontology_term=KEGG_ENZYME:2.7.1.180	6	7	9	5	22	11	14	0	6	14	16	7	2	6	2
ID=fig|671267.8.peg.4700;Name=Putative manganese efflux pump MntP	0	2	0	3	6	0	5	0	0	10	0	2	6	0	0
ID=fig|671267.8.peg.4701;Name=hypothetical protein	0	4	0	6	6	2	10	0	0	9	16	3	12	2	4
ID=fig|671267.8.peg.4702;Name=hypothetical protein	0	2	5	6	18	4	12	2	0	16	8	8	4	8	2
ID=fig|671267.8.peg.4703;Name=Glycosyl transferase%2C group 2 family	2	10	15	8	36	11	32	0	0	34	30	18	29	8	4
ID=fig|671267.8.peg.4704;Name=hypothetical protein	4	8	2	4	8	3	12	2	2	14	20	4	3	2	0
ID=fig|671267.8.peg.4705;Name=ATP-dependent DNA helicase RecQ	24	8	46	25	81	26	48	4	16	54	75	56	20	34	20
ID=fig|671267.8.peg.4706;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4707;Name=Capsular polysaccharide transcription antitermination protein UpgY	0	0	4	0	3	0	4	0	0	4	10	0	4	4	0
ID=fig|671267.8.peg.4708;Name=Hypothetical protein clustered with UpdY	6	4	12	4	4	4	8	4	2	0	8	16	14	10	7
ID=fig|671267.8.repeat.193;Name=repeat region	0	2	0	0	0	0	1	0	0	0	0	2	2	2	3
ID=fig|671267.8.peg.4709;Name=O-antigen flippase Wzx	0	4	4	0	14	4	8	2	4	6	28	8	16	4	8
ID=fig|671267.8.peg.4710;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	6	0	2	1	0
ID=fig|671267.8.peg.4711;Name=hypothetical protein	0	6	2	4	2	0	2	0	2	2	20	4	4	9	0
ID=fig|671267.8.peg.4712;Name=glycosyl transferase%2C family 2	0	0	2	0	3	0	0	0	0	2	2	2	2	2	0
ID=fig|671267.8.peg.4713;Name=Glycosyltransferase	0	0	0	0	3	0	0	0	0	0	14	8	2	6	2
ID=fig|671267.8.peg.4714;Name=Glycosyl transferase%2C group 1	0	2	0	0	0	0	0	0	2	0	2	2	6	0	0
ID=fig|671267.8.peg.4715;Name=FIG00898277: hypothetical protein	0	4	0	0	2	0	0	0	0	4	10	0	0	8	0
ID=fig|671267.8.peg.4716;Name=hypothetical protein	99	59	45	46	61	36	55	16	49	62	125	83	64	78	42
ID=fig|671267.8.peg.4717;Name=hypothetical protein	40	43	21	14	33	10	35	10	11	84	75	35	43	36	26
ID=fig|671267.8.peg.4718;Name=Alpha-D-GlcNAc alpha-1%2C2-L-rhamnosyltransferase (EC 2.4.1.-);Ontology_term=KEGG_ENZYME:2.4.1.-	4	2	0	0	2	4	0	0	2	2	8	0	3	7	0
ID=fig|671267.8.peg.4719;Name=hypothetical protein	0	0	2	0	4	0	4	0	0	4	9	2	0	1	0
ID=fig|671267.8.repeat.194;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4720;Name=hypothetical protein	2	2	2	2	2	0	4	0	0	0	1	12	4	1	0
ID=fig|671267.8.peg.4721;Name=Retron-type RNA-directed DNA polymerase (EC 2.7.7.49);Ontology_term=KEGG_ENZYME:2.7.7.49	93	77	28	34	87	36	58	8	30	148	208	121	86	55	51
ID=fig|671267.8.peg.4722;Name=hypothetical protein	32	10	4	2	14	6	4	0	6	31	59	28	12	18	10
ID=fig|671267.8.peg.4723;Name=hypothetical protein	36	40	24	27	30	17	22	8	14	85	104	114	52	42	22
ID=fig|671267.8.peg.4724;Name=Enolase (EC 4.2.1.11);Ontology_term=KEGG_ENZYME:4.2.1.11	422	715	742	1261	1838	1801	1906	1396	1246	543	1441	638	449	784	600
ID=fig|671267.8.peg.4725;Name=Putative large secreted protein SCO0341	6	36	10	2	14	6	2	0	2	48	28	58	14	12	2
ID=fig|671267.8.peg.4726;Name=Rhamnogalacturonides degradation protein RhiN	40	44	36	15	22	18	10	6	8	72	105	111	10	28	24
ID=fig|671267.8.peg.4727;Name=hypothetical protein	10	45	40	15	23	14	4	4	4	90	64	91	40	32	10
ID=fig|671267.8.peg.4728;Name=alpha-rhamnosidase	50	125	118	22	41	38	42	12	16	210	202	283	76	100	68
ID=fig|671267.8.peg.4729;Name=hypothetical protein	6	10	10	38	64	62	66	58	37	11	45	10	18	2	4
ID=fig|671267.8.peg.4730;Name=hypothetical protein	0	0	2	0	4	6	18	4	1	2	12	2	6	0	0
ID=fig|671267.8.peg.4731;Name=hypothetical protein	2	0	0	4	6	4	8	2	0	0	2	0	0	0	2
ID=fig|671267.8.peg.4732;Name=hypothetical protein	2	4	8	16	18	20	44	8	20	4	2	4	6	4	0
ID=fig|671267.8.peg.4733;Name=Putative glycosyl hydrolase of unknown function (DUF1680)	10	12	21	2	2	4	4	0	2	49	40	68	18	18	6
ID=fig|671267.8.peg.4734;Name=hypothetical protein	10	20	22	10	6	4	3	0	0	53	31	54	17	14	10
ID=fig|671267.8.peg.4735;Name=alpha-L-rhamnosidase (EC 3.2.1.40);Ontology_term=KEGG_ENZYME:3.2.1.40	26	110	83	20	26	56	39	10	20	150	111	198	55	54	36
ID=fig|671267.8.peg.4736;Name=hypothetical protein	4	2	2	0	0	2	2	4	0	6	4	0	2	2	0
ID=fig|671267.8.peg.4737;Name=hypothetical protein	2	2	0	0	2	0	0	4	2	0	2	0	0	4	2
ID=fig|671267.8.peg.4738;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	2	4	2	0	2	0
ID=fig|671267.8.peg.4739;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4740;Name=Putative glycosyltransferase	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4741;Name=hypothetical protein	3	6	2	14	17	4	2	4	3	28	39	13	19	2	4
ID=fig|671267.8.peg.4742;Name=hypothetical protein	31	48	42	18	29	28	38	8	1	72	126	77	73	8	20
ID=fig|671267.8.peg.4743;Name=hypothetical protein	36	20	30	15	26	10	26	6	10	38	37	36	20	10	16
ID=fig|671267.8.peg.4744;Name=Glycosyl transferase%2C family 2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.4745;Name=Acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4746;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4747;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4748;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4749;Name=Glycosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4750;Name=Glycosyl transferase%2C group 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4751;Name=glycosyltransferase	2	0	2	0	2	0	2	0	0	2	0	0	2	2	0
ID=fig|671267.8.peg.4752;Name=hypothetical protein	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0
ID=fig|671267.8.peg.4753;Name=glycosyl transferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4754;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4755;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4756;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4757;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.4758;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4759;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
ID=fig|671267.8.peg.4760;Name=conserved hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4761;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4762;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
ID=fig|671267.8.peg.4763;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ID=fig|671267.8.peg.4764;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4765;Name=hypothetical protein	0	0	0	0	0	0	0	0	6	2	0	4	0	0	0
ID=fig|671267.8.peg.4766;Name=hypothetical protein	2	0	0	0	2	2	0	0	0	4	0	2	2	0	0
ID=fig|671267.8.peg.4767;Name=hypothetical protein	12	2	4	0	10	8	4	0	0	4	13	4	9	2	0
ID=fig|671267.8.peg.4768;Name=hypothetical protein	36	20	18	13	13	2	12	0	12	16	23	15	26	6	4
ID=fig|671267.8.peg.4769;Name=hypothetical protein	6	18	13	7	17	6	4	4	5	27	27	25	17	17	6
ID=fig|671267.8.peg.4770;Name=hypothetical protein	18	18	15	10	41	7	17	4	3	42	64	35	24	6	11
ID=fig|671267.8.peg.4771;Name=hypothetical protein	57	37	36	26	37	38	33	24	32	44	82	55	20	26	22
ID=fig|671267.8.peg.4772;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	4	2	2	2	6	0	10	2	8	0	4	0	0	2	0
ID=fig|671267.8.peg.4773;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4774;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
ID=fig|671267.8.peg.4775;Name=hypothetical protein	10	32	20	2	20	14	22	8	10	18	16	20	10	20	8
ID=fig|671267.8.peg.4776;Name=hypothetical protein	11	20	9	13	11	6	7	2	7	13	19	3	3	6	8
ID=fig|671267.8.peg.4777;Name=DNA-binding protein%2C histone-like family	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4778;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4779;Name=N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28);Ontology_term=KEGG_ENZYME:3.5.1.28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
ID=fig|671267.8.peg.4780;Name=Tyrosine-protein kinase (EC 2.7.10.2);Ontology_term=KEGG_ENZYME:2.7.10.2	4	4	4	2	20	2	0	0	2	4	9	6	4	0	2
ID=fig|671267.8.peg.4781;Name=Polysaccharide export outer membrane protein	0	0	2	4	2	0	0	0	0	0	4	2	0	0	2
ID=fig|671267.8.peg.4782;Name=Glycosyltransferase	0	0	2	2	2	0	2	2	0	0	0	0	0	0	2
ID=fig|671267.8.peg.4783;Name=Integrase	2	6	6	4	8	6	4	0	0	2	10	4	0	4	0
ID=fig|671267.8.peg.4784;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4785;Name=hypothetical protein	10	4	10	2	10	6	4	0	0	18	20	32	8	4	0
ID=fig|671267.8.peg.4786;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	18	28	22	8	2	0	10	2	8	52	38	76	21	10	9
ID=fig|671267.8.peg.4787;Name=Predicted cobalt transporter in Bacteroides_Porphyromonas	60	99	54	40	52	20	38	8	4	56	50	32	43	50	23
ID=fig|671267.8.peg.4788;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	24	20	26	6	2	10	2	2	6	90	56	94	16	28	14
ID=fig|671267.8.peg.4789;Name=beta-galactosidase (EC 3.2.1.23);Ontology_term=KEGG_ENZYME:3.2.1.23	12	42	40	6	2	10	2	6	0	88	64	84	26	18	16
ID=fig|671267.8.peg.4790;Name=hypothetical protein	6	30	36	36	37	20	26	0	2	70	44	36	12	16	18
ID=fig|671267.8.peg.4791;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4792;Name=putative glycosyslhydrolase	41	114	126	48	86	62	56	42	38	146	148	142	58	105	30
ID=fig|671267.8.peg.4793;Name=Sialic acid-specific 9-O-acetylesterase	16	54	61	20	22	38	17	16	8	57	70	97	22	66	33
ID=fig|671267.8.peg.4794;Name=hypothetical protein	12	30	37	8	22	20	16	6	6	59	40	74	12	35	7
ID=fig|671267.8.peg.4795;Name=Choloylglycine hydrolase (EC 3.5.1.24);Ontology_term=KEGG_ENZYME:3.5.1.24	14	10	8	36	25	19	58	8	26	12	62	16	14	10	10
ID=fig|671267.8.repeat.195;Name=repeat region	62	14	18	16	23	21	24	8	10	43	58	36	24	12	12
ID=fig|671267.8.peg.4796;Name=Transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4797;Name=Tetracycline resistance element mobilization regulatory protein RteC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4798;Name=Phosphoglycolate phosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4799;Name=Galactoside O-acetyltransferase (EC 2.3.1.18);Ontology_term=KEGG_ENZYME:2.3.1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4800;Name=Transcriptional regulator%2C AraC family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4801;Name=hypothetical protein	5	7	0	0	0	2	0	0	0	8	4	2	2	4	2
ID=fig|671267.8.peg.4802;Name=hypothetical protein	2	5	7	0	1	2	0	0	2	7	1	5	4	5	2
ID=fig|671267.8.peg.4803;Name=Transglycosylase	40	38	38	11	35	18	20	4	10	82	52	58	50	27	14
ID=fig|671267.8.peg.4804;Name=Uridine kinase (EC 2.7.1.48) [C1];Ontology_term=KEGG_ENZYME:2.7.1.48	241	66	92	22	16	16	12	10	6	73	121	67	40	74	18
ID=fig|671267.8.peg.4805;Name=Stress responsive alpha-beta barrel domain protein Dabb	4	17	13	8	18	6	6	0	6	27	26	19	14	9	5
ID=fig|671267.8.peg.4806;Name=hypothetical protein	6	17	9	12	26	4	18	2	0	43	49	31	24	7	7
ID=fig|671267.8.peg.4807;Name=ATP phosphoribosyltransferase (EC 2.4.2.17) > HisGl;Ontology_term=KEGG_ENZYME:2.4.2.17	10	8	8	2	13	6	0	0	0	26	36	34	2	6	4
ID=fig|671267.8.peg.4808;Name=Histidinol dehydrogenase (EC 1.1.1.23);Ontology_term=KEGG_ENZYME:1.1.1.23	8	6	14	6	11	6	10	0	2	44	101	62	4	2	4
ID=fig|671267.8.peg.4809;Name=Histidinol-phosphate aminotransferase (EC 2.6.1.9);Ontology_term=KEGG_ENZYME:2.6.1.9	8	26	24	6	8	6	9	0	2	46	71	46	2	12	4
ID=fig|671267.8.peg.4810;Name=Histidinol-phosphatase (EC 3.1.3.15) / Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19);Ontology_term=KEGG_ENZYME:3.1.3.15,KEGG_ENZYME:4.2.1.19	8	26	32	2	6	6	11	2	8	58	109	64	6	20	10
ID=fig|671267.8.peg.4811;Name=NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase;Ontology_term=KEGG_ENZYME:6.3.1.5	60	157	178	62	126	82	92	17	34	168	265	142	130	80	46
ID=fig|671267.8.peg.4812;Name=Peroxide stress regulator%3B Ferric uptake regulation protein%3B Fe2+/Zn2+ uptake regulation proteins	95	16	7	45	25	2	50	3	26	30	52	19	18	24	6
ID=fig|671267.8.peg.4813;Name=Reverse rubrerythrin	132	395	103	309	403	182	448	117	134	455	471	163	334	80	64
ID=fig|671267.8.peg.4814;Name=Thioredoxin	148	45	32	64	68	53	105	48	42	26	138	41	43	66	39
ID=fig|671267.8.peg.4815;Name=Thioredoxin	11	22	16	48	47	55	91	26	70	28	84	35	28	24	33
ID=fig|671267.8.peg.4816;Name=Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor	73	54	48	58	147	48	77	2	18	190	221	133	90	32	34
ID=fig|671267.8.peg.4817;Name=hypothetical protein	9	6	8	2	8	0	5	2	0	12	17	13	0	4	0
ID=fig|671267.8.peg.4818;Name=Cytosol nonspecific dipeptidase (EC 3.4.13.18);Ontology_term=KEGG_ENZYME:3.4.13.18	125	161	144	134	182	112	181	48	68	243	274	196	100	129	42
ID=fig|671267.8.peg.4819;Name=hypothetical protein	123	151	123	62	130	79	116	42	46	161	239	176	88	115	50
ID=fig|671267.8.peg.4820;Name=23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177);Ontology_term=KEGG_ENZYME:2.1.1.177	3	10	5	10	13	9	22	2	2	22	18	17	10	8	2
ID=fig|671267.8.peg.4821;Name=Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19);Ontology_term=KEGG_ENZYME:2.4.2.19	191	82	52	46	68	34	79	4	26	86	144	102	64	48	28
ID=fig|671267.8.peg.4822;Name=DNA-binding response regulator%2C AraC family	10	4	2	0	4	0	7	0	0	18	24	12	10	2	0
ID=fig|671267.8.peg.4823;Name=hypothetical protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4824;Name=Beta-glucanase	0	0	2	0	0	0	0	0	0	6	2	2	0	0	0
ID=fig|671267.8.peg.4825;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	10	34	16	10	12	10	14	2	8	81	54	64	12	16	6
ID=fig|671267.8.peg.4826;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	16	34	14	6	4	8	6	4	0	49	36	49	12	12	16
ID=fig|671267.8.peg.4827;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ID=fig|671267.8.peg.4828;Name=hypothetical protein	55	44	27	24	30	15	31	0	28	33	79	73	30	22	19
ID=fig|671267.8.peg.4829;Name=Putative transmembrane protein	13	10	17	12	22	17	19	6	8	33	53	33	22	12	17
ID=fig|671267.8.peg.4830;Name=glycogen debranching enzyme-related protein	224	786	564	189	268	316	231	63	103	1262	1794	1467	480	377	312
ID=fig|671267.8.peg.4831;Name=Glycosyltransferase	84	452	403	99	155	184	118	38	31	778	811	850	282	268	245
ID=fig|671267.8.peg.4832;Name=Alpha-amylase (EC 3.2.1.1);Ontology_term=KEGG_ENZYME:3.2.1.1	181	563	432	134	152	224	125	37	56	1057	1339	1315	356	330	232
ID=fig|671267.8.peg.4833;Name=hypothetical protein	31	57	27	20	30	10	36	2	6	88	75	58	53	28	34
ID=fig|671267.8.peg.4834;Name=Biotin synthase (EC 2.8.1.6);Ontology_term=KEGG_ENZYME:2.8.1.6	2	6	6	0	2	2	2	2	0	13	4	14	0	8	0
ID=fig|671267.8.peg.4835;Name=Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62);Ontology_term=KEGG_ENZYME:2.6.1.62	147	36	68	8	8	8	4	6	2	24	50	56	6	246	4
ID=fig|671267.8.peg.4836;Name=8-amino-7-oxononanoate synthase (EC 2.3.1.47);Ontology_term=KEGG_ENZYME:2.3.1.47	4	2	8	2	2	0	6	0	0	1	8	6	0	2	0
ID=fig|671267.8.peg.4837;Name=Pimeloyl-[acyl-carrier protein] methyl ester esterase BioG (EC 3.1.1.85);Ontology_term=KEGG_ENZYME:3.1.1.85	4	0	0	0	2	0	2	0	0	9	4	12	0	2	0
ID=fig|671267.8.peg.4838;Name=Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197);Ontology_term=KEGG_ENZYME:2.1.1.197	10	2	0	0	0	0	0	0	2	4	4	4	0	8	0
ID=fig|671267.8.peg.4839;Name=Dethiobiotin synthetase (EC 6.3.3.3);Ontology_term=KEGG_ENZYME:6.3.3.3	2	5	0	0	2	0	0	0	0	10	4	8	0	2	0
ID=fig|671267.8.peg.4840;Name=Glutamine synthetase type III%2C GlnN (EC 6.3.1.2);Ontology_term=KEGG_ENZYME:6.3.1.2	4	37	14	2	34	8	12	2	4	325	662	253	14	22	4
ID=fig|671267.8.peg.4841;Name=Ammonium transporter	0	2	4	4	12	2	4	2	0	25	158	9	0	8	2
ID=fig|671267.8.peg.4842;Name=Nitrogen regulatory protein P-II	0	0	0	0	0	0	0	0	0	6	32	5	4	0	0
ID=fig|671267.8.peg.4843;Name=FrrB	4	0	4	6	4	0	6	0	0	8	103	24	2	4	0
ID=fig|671267.8.peg.4844;Name=L%2CL-diaminopimelate aminotransferase (EC 2.6.1.83);Ontology_term=KEGG_ENZYME:2.6.1.83	2	6	2	6	8	0	8	0	2	18	101	8	14	1	0
ID=fig|671267.8.peg.4845;Name=Diaminopimelate epimerase (EC 5.1.1.7);Ontology_term=KEGG_ENZYME:5.1.1.7	10	0	0	2	0	2	0	0	0	0	24	4	0	1	0
ID=fig|671267.8.peg.4846;Name=Putative molybdenum transport ATP-binding protein modF	20	32	38	22	30	24	18	8	14	57	79	50	26	12	14
ID=fig|671267.8.peg.4847;Name=hypothetical protein	2	1	0	0	2	0	0	0	1	3	7	0	0	2	2
ID=fig|671267.8.peg.4848;Name=Dihydrodipicolinate synthase family	20	33	34	10	4	8	6	0	1	81	50	53	18	12	10
ID=fig|671267.8.peg.4849;Name=Predicted sialic acid transporter	20	38	30	6	8	6	12	2	2	57	38	77	22	14	18
ID=fig|671267.8.peg.4850;Name=Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9);Ontology_term=KEGG_ENZYME:1.3.1.9	34	70	46	58	66	48	67	36	28	44	88	64	32	34	20
ID=fig|671267.8.peg.4851;Name=Anaerobic C4-dicarboxylate transporter	12	26	28	36	60	18	24	4	8	50	40	22	17	24	12
ID=fig|671267.8.peg.4852;Name=L-asparaginase (EC 3.5.1.1);Ontology_term=KEGG_ENZYME:3.5.1.1	34	56	43	67	143	50	143	26	39	64	70	36	63	37	26
ID=fig|671267.8.peg.4853;Name=hypothetical protein	6	9	5	2	7	7	21	4	1	6	20	2	12	6	4
ID=fig|671267.8.peg.4854;Name=hypothetical protein	2	1	2	17	22	13	30	8	4	2	8	2	6	9	2
ID=fig|671267.8.peg.4855;Name=Na+/H+-dicarboxylate symporter	32	14	44	24	33	34	30	10	4	54	58	33	32	20	26
ID=fig|671267.8.peg.4856;Name=6-phosphogluconate dehydrogenase%2C decarboxylating (EC 1.1.1.44);Ontology_term=KEGG_ENZYME:1.1.1.44	72	78	64	125	179	120	200	143	87	56	179	85	38	86	43
ID=fig|671267.8.peg.4857;Name=Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49);Ontology_term=KEGG_ENZYME:1.1.1.49	65	67	55	164	138	145	188	87	113	46	199	53	48	86	63
ID=fig|671267.8.peg.4858;Name=6-phosphogluconolactonase (EC 3.1.1.31)%2C eukaryotic type;Ontology_term=KEGG_ENZYME:3.1.1.31	13	21	15	48	54	29	38	28	31	32	64	24	6	22	28
ID=fig|671267.8.peg.4859;Name=Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-);Ontology_term=KEGG_ENZYME:1.10.3.-	84	227	223	160	179	162	110	80	116	369	450	308	109	169	84
ID=fig|671267.8.peg.4860;Name=Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-);Ontology_term=KEGG_ENZYME:1.10.3.-	270	459	499	298	374	332	272	236	228	502	583	352	213	339	182
ID=fig|671267.8.peg.4861;Name=hypothetical protein	8	12	8	11	4	8	12	4	6	19	23	8	3	6	4
ID=fig|671267.8.peg.4862;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT1212	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.4863;Name=ABC export system%2C membrane fusion protein BT1213	0	0	0	2	4	0	0	0	2	2	0	2	0	2	0
ID=fig|671267.8.peg.4864;Name=ABC-type antimicrobial peptide transport system%2C ATPase component BT1214	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.4865;Name=ABC-type antimicrobial peptide transport system%2C permease component BT1215	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.4866;Name=Two-component system histidine kinase BT1216	8	8	4	4	8	4	0	0	0	20	14	16	1	10	4
ID=fig|671267.8.peg.4867;Name=Two-component transcriptional response regulator%2C LuxR family BT1217	6	6	2	0	4	4	0	0	0	4	8	16	7	4	0
ID=fig|671267.8.peg.4868;Name=hypothetical protein	4	2	6	4	2	0	6	0	4	2	6	2	0	0	0
ID=fig|671267.8.peg.4869;Name=Repair of Iron Centers di-iron protein	373	145	157	82	91	31	45	28	40	292	382	275	6	170	10
ID=fig|671267.8.peg.4870;Name=Two-component transcriptional response regulator%2C LuxR family	227	95	234	68	149	51	67	34	120	273	385	313	14	198	6
ID=fig|671267.8.peg.4871;Name=Predicted L-lactate dehydrogenase%2C Fe-S oxidoreductase subunit YkgE	37	16	37	27	43	24	36	18	9	43	67	32	16	34	8
