PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.3724;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	84	134	233	188	247	308	353	126	167	176	329	223	71	156	22
ID=fig|823.92.peg.3725;Name=FIG00898059: hypothetical protein	52	78	100	111	117	177	165	98	97	70	165	171	44	82	10
ID=fig|823.92.peg.3726;Name=hypothetical protein	10	48	46	24	47	48	44	25	63	76	56	102	75	43	30
ID=fig|823.92.peg.3727;Name=Xylanase	32	20	33	41	28	38	36	6	12	46	42	44	24	20	6
ID=fig|823.92.peg.3728;Name=Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39);Ontology_term=KEGG_ENZYME:2.3.1.39	34	60	70	34	126	62	88	26	52	104	230	72	120	36	26
ID=fig|823.92.peg.3729;Name=Twin-arginine translocation protein TatA	25	63	62	42	57	37	55	12	33	89	159	140	79	67	63
ID=fig|823.92.peg.3730;Name=Twin-arginine translocation protein TatC	77	237	206	130	205	157	160	42	161	285	593	392	337	176	143
ID=fig|823.92.peg.3731;Name=Arginase (EC 3.5.3.1);Ontology_term=KEGG_ENZYME:3.5.3.1	84	78	68	56	78	66	104	44	100	60	77	78	48	50	40
ID=fig|823.92.peg.3732;Name=Alpha-1%2C2-mannosidase	224	412	392	322	458	495	593	328	318	494	376	561	442	315	219
ID=fig|823.92.peg.3733;Name=hypothetical protein	7	6	4	1	2	11	6	4	12	12	4	11	16	7	0
ID=fig|823.92.peg.3734;Name=Isoaspartyl aminopeptidase (EC 3.4.19.5) @ Asp-X dipeptidase;Ontology_term=KEGG_ENZYME:3.4.19.5	6	14	12	9	34	26	30	20	10	28	40	36	20	16	6
ID=fig|823.92.peg.3735;Name=hypothetical protein	36	41	42	30	20	24	28	14	18	54	94	39	48	18	14
ID=fig|823.92.peg.3736;Name=DNA repair protein RadA	14	9	42	28	43	24	62	36	24	46	54	25	24	20	6
ID=fig|823.92.peg.3737;Name=NAD-utilizing dehydrogenases	56	55	52	24	65	54	52	26	16	60	56	60	32	52	20
ID=fig|823.92.peg.3738;Name=Endo-1%2C4-beta-xylanase D	28	51	44	29	32	34	42	20	28	65	74	70	39	26	18
ID=fig|823.92.peg.3739;Name=FIG00898427: hypothetical protein	6	9	18	16	10	16	23	12	6	35	14	18	33	12	10
ID=fig|823.92.peg.3740;Name=Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	8	20	24	10	26	22	39	12	16	44	21	26	36	34	2
ID=fig|823.92.peg.3741;Name=Predicted cobalt transporter in Bacteroides_Porphyromonas	52	110	117	33	106	79	134	114	74	144	242	100	197	65	66
ID=fig|823.92.peg.3742;Name=Hypothetical sugar kinase%2C ROK family	14	45	70	41	67	57	54	60	82	51	52	103	40	38	26
ID=fig|823.92.peg.3743;Name=FIG00898015: hypothetical protein	60	100	62	29	47	71	70	33	60	77	100	129	72	60	58
ID=fig|823.92.peg.3744;Name=ATP-dependent DNA helicase%2C RecQ family	49	114	120	73	110	87	104	98	51	93	109	104	101	95	43
ID=fig|823.92.peg.3745;Name=Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-);Ontology_term=KEGG_ENZYME:3.1.-.-	116	225	224	126	256	195	230	111	159	281	285	250	261	192	150
ID=fig|823.92.peg.3746;Name=Threonylcarbamoyl-AMP synthase (EC 2.7.7.87);Ontology_term=KEGG_ENZYME:2.7.7.87	23	12	22	10	12	18	37	12	12	17	44	42	14	6	6
ID=fig|823.92.peg.3747;Name=Capsular polysaccharide biosynthesis protein	11	18	28	6	38	26	25	14	22	47	52	56	27	14	8
ID=fig|823.92.peg.3748;Name=Chloride channel protein	22	36	36	24	50	24	30	24	26	44	44	64	31	27	10
ID=fig|823.92.peg.3749;Name=Methionyl-tRNA formyltransferase (EC 2.1.2.9);Ontology_term=KEGG_ENZYME:2.1.2.9	12	32	40	30	38	22	36	12	16	52	68	34	32	24	16
ID=fig|823.92.peg.3750;Name=FIG039061: hypothetical protein related to heme utilization	0	0	0	10	6	2	6	0	2	7	14	9	1	1	0
ID=fig|823.92.peg.3751;Name=Catalase KatE (EC 1.11.1.6);Ontology_term=KEGG_ENZYME:1.11.1.6	80	260	308	244	256	428	433	232	242	398	324	410	187	164	81
ID=fig|823.92.peg.3752;Name=hypothetical protein	7	2	2	0	0	2	5	0	0	2	15	6	8	6	2
ID=fig|823.92.peg.3753;Name=hypothetical protein	2	2	2	0	4	0	2	0	2	13	26	25	7	16	2
ID=fig|823.92.peg.3754;Name=FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	6	6	0	0	0	2	4	0	4	5	18	6	4	6	2
ID=fig|823.92.peg.3755;Name=RND efflux system%2C inner membrane transporter	13	32	34	31	46	55	70	36	26	18	46	34	8	26	2
ID=fig|823.92.peg.3756;Name=RND efflux system%2C membrane fusion protein	6	2	10	15	16	9	18	2	8	3	20	2	4	6	0
ID=fig|823.92.peg.3757;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein	4	4	0	4	8	4	12	0	6	4	3	2	2	4	0
ID=fig|823.92.peg.3758;Name=probable membrane protein NMA1128	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
ID=fig|823.92.peg.3759;Name=Glyoxylate reductase (EC 1.1.1.79) / Glyoxylate reductase (EC 1.1.1.26) / Hydroxypyruvate reductase (EC 1.1.1.81);Ontology_term=KEGG_ENZYME:1.1.1.79,KEGG_ENZYME:1.1.1.26,KEGG_ENZYME:1.1.1.81	6	10	2	2	4	8	10	2	4	8	4	8	8	4	0
ID=fig|823.92.peg.3760;Name=NADP-dependent malic enzyme (EC 1.1.1.40);Ontology_term=KEGG_ENZYME:1.1.1.40	116	290	278	74	172	126	180	132	126	268	400	274	142	152	78
ID=fig|823.92.peg.3761;Name=FIG00898511: hypothetical protein	54	105	150	54	70	104	86	66	50	169	164	221	126	128	68
ID=fig|823.92.peg.3762;Name=hypothetical protein	0	1	2	0	0	2	0	0	0	2	2	1	0	2	0
ID=fig|823.92.peg.3763;Name=Exonuclease SbcD	44	84	106	37	73	44	60	40	26	60	50	62	34	58	28
ID=fig|823.92.peg.3764;Name=Exonuclease SbcC	48	126	137	70	133	122	106	54	69	98	106	104	103	66	32
ID=fig|823.92.peg.3765;Name=FIG002003: Protein YdjA	3	24	17	12	20	18	42	12	7	24	29	13	11	12	6
ID=fig|823.92.peg.3766;Name=Na(+)/H(+) antiporter	49	114	78	108	154	100	156	92	68	164	163	140	132	62	36
ID=fig|823.92.peg.3767;Name=1%2C4-alpha-glucan (glycogen) branching enzyme%2C GH-13-type (EC 2.4.1.18);Ontology_term=KEGG_ENZYME:2.4.1.18	133	171	189	138	193	184	240	84	108	281	292	291	204	142	73
ID=fig|823.92.peg.3768;Name=Mannose-6-phosphate isomerase (EC 5.3.1.8);Ontology_term=KEGG_ENZYME:5.3.1.8	79	202	154	92	206	154	216	48	86	292	299	273	200	76	69
ID=fig|823.92.peg.3769;Name=DNA-3-methyladenine glycosylase (EC 3.2.2.20);Ontology_term=KEGG_ENZYME:3.2.2.20	18	12	5	10	10	2	14	2	8	22	18	20	22	16	18
ID=fig|823.92.peg.3770;Name=hypothetical protein	6	0	4	2	1	0	6	0	2	7	10	9	4	4	0
ID=fig|823.92.peg.3771;Name=hypothetical protein	4	0	0	0	1	0	0	0	0	5	6	3	0	2	0
ID=fig|823.92.peg.3772;Name=hypothetical protein	8	6	0	4	2	0	0	0	2	2	2	2	4	2	0
ID=fig|823.92.peg.3773;Name=hypothetical protein	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.3774;Name=2-dehydropantoate 2-reductase (EC 1.1.1.169);Ontology_term=KEGG_ENZYME:1.1.1.169	14	24	8	37	48	38	92	28	40	12	42	22	18	18	14
ID=fig|823.92.peg.3775;Name=Pyridoxal kinase (EC 2.7.1.35);Ontology_term=KEGG_ENZYME:2.7.1.35	0	4	6	4	6	4	0	0	4	0	10	8	2	6	0
ID=fig|823.92.peg.3776;Name=Hcp transcriptional regulator HcpR (Crp/Fnr family)	8	13	10	14	14	8	16	10	16	22	31	26	8	20	2
ID=fig|823.92.peg.3777;Name=FIG00896882: hypothetical protein	42	9	12	26	14	4	23	8	16	34	43	39	26	17	10
ID=fig|823.92.peg.3778;Name=hypothetical protein	2	0	0	0	0	0	1	0	0	2	1	0	0	5	0
ID=fig|823.92.peg.3779;Name=FIG00898661: hypothetical protein	4	0	2	6	6	2	2	2	6	8	5	2	2	0	0
ID=fig|823.92.peg.3780;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|823.92.peg.3781;Name=hypothetical protein	2	2	0	0	0	0	0	0	0	2	0	2	0	0	0
ID=fig|823.92.peg.3782;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.3783;Name=hypothetical protein	0	0	4	4	2	2	6	2	4	2	10	2	0	2	0
ID=fig|823.92.peg.3784;Name=hypothetical protein	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2
ID=fig|823.92.peg.3785;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	33	5	4	8	8	8	4	2	0	10	8	8	16	10	0
ID=fig|823.92.peg.3786;Name=Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ID=fig|823.92.peg.3787;Name=Protein of unknown function DUF6%2C transmembrane	6	8	2	4	4	4	6	0	4	0	8	8	6	8	4
ID=fig|823.92.repeat.74;Name=repeat region	1	0	4	2	0	0	0	0	0	0	0	0	0	3	0
ID=fig|823.92.peg.3788;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3789;Name=Thioredoxin	78	108	115	164	237	220	395	116	200	138	211	182	192	109	108
ID=fig|823.92.peg.3790;Name=FIG00897244: hypothetical protein	2	2	7	8	7	6	6	4	12	2	12	12	8	11	0
ID=fig|823.92.peg.3791;Name=SSU ribosomal protein S16p	308	132	166	128	426	110	288	86	88	216	463	186	312	134	56
ID=fig|823.92.peg.3792;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3793;Name=Bis-ABC ATPase YheS.2	8	11	16	10	30	8	34	10	8	16	24	10	28	4	12
ID=fig|823.92.peg.3794;Name=FIG00897197: hypothetical protein	48	51	40	84	114	64	151	58	80	40	52	24	34	38	8
ID=fig|823.92.peg.3795;Name=UPF0126 inner membrane protein BT_1201	3	4	6	6	16	6	20	27	14	8	14	8	2	4	4
ID=fig|823.92.peg.3796;Name=L-asparaginase I%2C cytoplasmic (EC 3.5.1.1);Ontology_term=KEGG_ENZYME:3.5.1.1	80	63	79	66	88	75	64	63	56	123	165	129	98	70	58
ID=fig|823.92.peg.3797;Name=MBL-fold metallo-hydrolase superfamily	69	55	33	28	57	26	31	18	20	45	63	53	50	30	8
ID=fig|823.92.peg.3798;Name=Bll2647 protein	8	10	22	0	28	14	23	6	4	20	21	14	14	8	6
ID=fig|823.92.peg.3799;Name=Na+/H+ antiporter	22	42	40	24	58	34	47	16	36	44	53	48	22	30	12
ID=fig|823.92.peg.3800;Name=Vitellogenin II precursor	151	422	328	589	1111	1016	1414	963	1152	424	623	655	322	387	298
ID=fig|823.92.peg.3801;Name=putative hemin receptor	139	407	361	366	590	523	776	386	593	389	637	535	388	278	366
ID=fig|823.92.peg.3802;Name=RNA polymerase ECF-type sigma factor	100	24	24	21	31	22	28	8	18	49	54	34	69	41	28
ID=fig|823.92.peg.3803;Name=FIG00897179: hypothetical protein	118	66	97	47	75	112	118	52	56	63	72	68	105	54	72
ID=fig|823.92.peg.3804;Name=Ribulose-phosphate 3-epimerase (EC 5.1.3.1);Ontology_term=KEGG_ENZYME:5.1.3.1	40	40	30	10	42	40	56	22	24	56	69	124	46	57	20
ID=fig|823.92.peg.3805;Name=DNA internalization-related competence protein ComEC/Rec2	0	2	0	0	2	0	0	0	2	2	2	8	2	0	0
ID=fig|823.92.peg.3806;Name=3'-to-5' oligoribonuclease A%2C Bacillus type	16	35	37	48	77	38	84	28	46	50	90	74	56	60	34
ID=fig|823.92.peg.3807;Name=FIG00897181: hypothetical protein	21	33	9	17	21	18	41	4	9	40	59	36	37	12	8
ID=fig|823.92.peg.3808;Name=Phosphomannomutase (EC 5.4.2.8) / Phosphoglucosamine mutase (EC 5.4.2.10);Ontology_term=KEGG_ENZYME:5.4.2.8,KEGG_ENZYME:5.4.2.10	107	164	156	157	272	208	265	74	117	250	241	212	279	136	68
ID=fig|823.92.peg.3809;Name=Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2);Ontology_term=KEGG_ENZYME:5.3.3.2	0	2	0	8	2	6	2	2	4	5	6	2	4	5	0
ID=fig|823.92.peg.3810;Name=DNA topoisomerase III (EC 5.99.1.2);Ontology_term=KEGG_ENZYME:5.99.1.2	20	32	28	38	34	18	54	28	14	36	48	32	44	24	12
ID=fig|823.92.peg.3811;Name=RNA polymerase ECF-type sigma factor	16	4	21	10	18	10	12	6	14	18	14	16	10	10	5
ID=fig|823.92.peg.3812;Name=FIG00898581: hypothetical protein	4	3	9	8	10	2	4	8	8	7	8	12	10	4	1
ID=fig|823.92.peg.3813;Name=Neuraminidase NanP	10	9	8	4	6	6	10	6	6	5	2	10	14	10	12
ID=fig|823.92.peg.3814;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	0	2	0	0	4	2	0	4	2	0	0	2	2	0	0
ID=fig|823.92.peg.3815;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	2	0	0	2	6	6	8	4	12	6	4	6	6	0	0
ID=fig|823.92.peg.3816;Name=anti-FecI sigma factor%2C FecR	12	26	18	30	20	40	66	22	30	14	20	20	18	6	16
ID=fig|823.92.peg.3817;Name=RNA polymerase ECF-type sigma factor	0	0	2	2	2	2	8	0	0	6	5	4	10	2	2
ID=fig|823.92.peg.3818;Name=hypothetical protein	0	0	4	0	4	2	2	0	0	0	5	2	3	0	0
ID=fig|823.92.peg.3819;Name=FIG00898218: hypothetical protein	12	18	12	12	24	10	30	4	4	24	11	15	20	10	2
ID=fig|823.92.peg.3820;Name=hypothetical protein	4	0	2	2	2	0	1	0	0	4	4	5	3	0	0
ID=fig|823.92.peg.3821;Name=putative anti-sigma factor	20	2	6	8	6	2	10	12	12	10	10	9	10	2	10
ID=fig|823.92.peg.3822;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	8	12	10	8	10	14	26	10	14	24	38	26	22	10	4
ID=fig|823.92.peg.3823;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	2	4	4	6	0	8	4	2	8	14	18	13	6	2	0
ID=fig|823.92.peg.3824;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	4	2	6	2	4	4	6	4	2	6	14	15	4	4	4
ID=fig|823.92.peg.3825;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	30	69	70	36	52	49	34	26	28	77	108	94	60	42	34
ID=fig|823.92.peg.3826;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	50	67	64	14	36	25	39	18	30	78	82	77	31	34	31
ID=fig|823.92.peg.3827;Name=hypothetical protein	10	1	8	2	0	5	4	1	4	6	8	12	14	11	2
ID=fig|823.92.peg.3828;Name=hypothetical protein	8	34	24	6	28	24	20	5	6	40	74	21	37	22	8
ID=fig|823.92.peg.3829;Name=Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9);Ontology_term=KEGG_ENZYME:3.1.4.1,KEGG_ENZYME:3.6.1.9	12	70	95	30	78	48	76	32	38	70	94	74	72	40	26
ID=fig|823.92.peg.3830;Name=hypothetical protein	10	14	16	4	6	12	14	18	12	4	12	16	2	16	12
ID=fig|823.92.peg.3831;Name=putative membrane protein	24	70	92	70	111	109	113	98	74	99	60	93	82	47	38
ID=fig|823.92.peg.3832;Name=putative membrane protein	0	14	6	10	5	15	7	2	2	9	6	5	6	3	1
ID=fig|823.92.peg.3833;Name=Endonuclease/exonuclease/phosphatase family protein	24	66	62	24	66	22	40	26	18	58	56	44	61	31	19
ID=fig|823.92.peg.3834;Name=Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3);Ontology_term=KEGG_ENZYME:4.1.1.3	36	54	76	94	118	76	164	68	76	105	136	118	29	89	12
ID=fig|823.92.peg.3835;Name=Ribose 5-phosphate isomerase B (EC 5.3.1.6);Ontology_term=KEGG_ENZYME:5.3.1.6	36	76	76	42	109	63	99	33	52	77	107	78	74	50	42
ID=fig|823.92.peg.3836;Name=Transketolase (EC 2.2.1.1);Ontology_term=KEGG_ENZYME:2.2.1.1	189	338	262	296	506	305	581	193	236	457	560	425	320	278	97
ID=fig|823.92.peg.3837;Name=Hypothetical Nudix-like regulator	148	163	91	30	52	34	46	12	30	161	247	147	128	74	26
ID=fig|823.92.peg.3838;Name=Galactokinase (EC 2.7.1.6);Ontology_term=KEGG_ENZYME:2.7.1.6	104	185	166	62	119	91	93	28	50	257	354	345	170	104	30
ID=fig|823.92.peg.3839;Name=Glucose/galactose transporter	66	252	351	102	176	186	170	60	106	566	489	495	352	200	119
ID=fig|823.92.peg.3840;Name=Aldose 1-epimerase (EC 5.1.3.3);Ontology_term=KEGG_ENZYME:5.1.3.3	67	72	72	50	110	77	119	28	32	174	191	165	124	62	41
ID=fig|823.92.peg.3841;Name=Surface antigen (D15) precursor	10	8	6	8	10	2	16	6	6	6	6	6	8	6	0
ID=fig|823.92.peg.3842;Name=putative protease I	20	14	6	6	2	4	10	4	12	12	18	18	4	16	0
ID=fig|823.92.peg.3843;Name=Transcriptional regulator%2C HxlR family	0	2	2	0	0	0	9	0	4	8	4	8	3	8	2
ID=fig|823.92.peg.3844;Name=FIG00896459: hypothetical protein	0	0	0	0	0	0	3	2	2	2	2	4	3	2	0
ID=fig|823.92.peg.3845;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	2	0	0	4	10	2	5	2	2	10	0	6	10	18	9
ID=fig|823.92.peg.3846;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	2	2	0	2	2	0	5	0	6	0	2	16	2	0	0
ID=fig|823.92.peg.3847;Name=Ribokinase (EC 2.7.1.15);Ontology_term=KEGG_ENZYME:2.7.1.15	22	22	22	38	46	33	38	16	48	40	56	39	32	36	24
ID=fig|823.92.peg.3848;Name=ADP-ribosylation/Crystallin J1	18	48	34	24	44	41	63	26	24	46	36	49	30	38	26
ID=fig|823.92.peg.3849;Name=Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1);Ontology_term=KEGG_ENZYME:3.2.2.1	16	20	42	6	12	8	15	8	4	41	24	36	18	30	8
ID=fig|823.92.peg.3850;Name=Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1);Ontology_term=KEGG_ENZYME:3.2.2.1	3	0	6	1	6	2	3	1	2	8	8	5	2	3	4
ID=fig|823.92.peg.3851;Name=L-rhamnose-proton symporter	9	12	20	15	24	10	25	8	10	27	26	50	20	16	6
ID=fig|823.92.peg.3852;Name=FIG00896949: hypothetical protein	149	89	79	44	43	44	81	27	42	110	111	158	67	115	41
ID=fig|823.92.peg.3853;Name=GtrA family protein	27	9	20	15	10	16	12	5	12	34	37	34	27	15	9
ID=fig|823.92.peg.3854;Name=Glycosyltransferase	32	32	42	38	42	24	44	22	19	75	71	62	44	44	24
ID=fig|823.92.peg.3855;Name=Fumarate hydratase class II (EC 4.2.1.2);Ontology_term=KEGG_ENZYME:4.2.1.2	85	132	145	78	167	112	215	124	130	112	146	155	91	79	36
ID=fig|823.92.peg.3856;Name=alpha-L-rhamnosidase (EC 3.2.1.40);Ontology_term=KEGG_ENZYME:3.2.1.40	93	116	177	66	90	72	81	94	90	234	181	487	128	141	38
ID=fig|823.92.peg.3857;Name=Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	12	18	16	16	30	12	26	8	10	34	51	33	27	8	12
ID=fig|823.92.peg.3858;Name=Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)	4	4	4	6	12	4	10	0	2	5	6	6	9	2	6
ID=fig|823.92.peg.3859;Name=Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	96	16	50	22	40	12	19	10	36	38	49	46	34	54	24
ID=fig|823.92.peg.3860;Name=Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	10	16	14	10	12	2	17	0	2	14	23	16	20	8	6
ID=fig|823.92.peg.3861;Name=Haloacid dehalogenase-like hydrolase	16	22	30	6	32	20	28	14	14	31	25	24	40	24	14
ID=fig|823.92.peg.3862;Name=Putative preQ0 transporter YhhQ	6	2	10	4	2	4	4	0	4	4	15	8	6	0	2
ID=fig|823.92.peg.3863;Name=FIG00897923: hypothetical protein	2	2	0	0	0	2	0	2	0	6	0	0	0	0	0
ID=fig|823.92.peg.3864;Name=Hydroxypyruvate isomerase (EC 5.3.1.22);Ontology_term=KEGG_ENZYME:5.3.1.22	26	24	54	16	17	18	22	12	18	48	48	52	22	28	10
ID=fig|823.92.peg.3865;Name=RNA polymerase ECF-type sigma factor	2	4	2	4	11	12	12	6	6	16	9	20	4	2	8
ID=fig|823.92.peg.3866;Name=FIG00898438: hypothetical protein	0	4	2	0	3	2	10	8	6	0	4	8	6	2	0
ID=fig|823.92.peg.3867;Name=FIG00896831: hypothetical protein	8	10	4	14	2	8	20	4	18	4	8	18	10	8	6
ID=fig|823.92.peg.3868;Name=ABC-type antimicrobial peptide transport system%2C ATPase component	124	81	125	18	22	46	26	20	31	126	80	110	89	64	32
ID=fig|823.92.peg.3869;Name=Acidobacterial duplicated orphan permease (function unknown)	36	28	33	14	18	30	18	18	15	70	66	64	43	28	14
ID=fig|823.92.peg.3870;Name=Acidobacterial duplicated orphan permease (function unknown)	12	15	14	8	2	8	8	10	0	56	52	42	24	6	16
ID=fig|823.92.peg.3871;Name=ABC transporter%2C ATP-binding protein	4	0	1	2	0	0	0	0	2	4	1	0	4	0	0
ID=fig|823.92.peg.3872;Name=Acidobacterial duplicated orphan permease (function unknown)	8	8	13	0	4	2	0	4	10	28	33	40	14	18	4
ID=fig|823.92.peg.3873;Name=Acidobacterial duplicated orphan permease (function unknown)	12	8	24	8	5	8	6	10	10	39	30	44	8	5	3
ID=fig|823.92.peg.3874;Name=Sodium/glutamate symporter	26	20	54	22	41	40	28	14	18	32	35	62	20	40	23
ID=fig|823.92.peg.3875;Name=Transcriptional regulator%2C AraC family	2	4	4	2	2	4	4	2	2	0	2	2	2	4	0
ID=fig|823.92.peg.3876;Name=FIG00897017: hypothetical protein	0	2	0	0	8	0	0	0	0	0	4	4	2	4	0
ID=fig|823.92.peg.3877;Name=mannose-6-phosphate isomerase%2C class I	2	13	4	6	6	16	6	2	8	12	14	18	14	2	4
ID=fig|823.92.peg.3878;Name=ROK family sugar kinase or transcriptional regulator	16	14	14	2	8	6	0	4	8	12	15	22	16	10	4
ID=fig|823.92.peg.3879;Name=Alpha-1%2C2-mannosidase	10	11	22	6	10	2	6	6	12	23	19	20	16	10	0
ID=fig|823.92.peg.3880;Name=FIG00898174: hypothetical protein	4	4	6	4	4	4	4	6	2	9	2	6	0	0	2
ID=fig|823.92.peg.3881;Name=Alpha-mannosidase (EC 3.2.1.24);Ontology_term=KEGG_ENZYME:3.2.1.24	12	20	8	4	10	8	10	4	7	30	12	40	10	22	8
ID=fig|823.92.peg.3882;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	248	709	608	287	481	303	643	218	266	1044	1323	854	1049	412	380
ID=fig|823.92.peg.3883;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	222	755	640	321	501	387	545	389	286	1072	1041	862	1063	442	342
ID=fig|823.92.peg.3884;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0
ID=fig|823.92.peg.3885;Name=hypothetical protein	0	0	2	0	4	2	2	0	2	0	4	6	4	2	2
ID=fig|823.92.peg.3886;Name=hypothetical protein	2	2	2	0	0	2	2	2	4	0	0	0	4	2	0
ID=fig|823.92.peg.3887;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2
ID=fig|823.92.peg.3888;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	107	235	198	54	130	44	144	30	74	283	413	328	310	127	95
ID=fig|823.92.peg.3889;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	113	195	198	82	142	48	147	20	46	305	564	370	205	106	45
ID=fig|823.92.peg.3890;Name=Alpha-1%2C2-mannosidase	146	268	246	100	252	114	215	62	125	426	616	435	308	150	81
ID=fig|823.92.peg.3891;Name=Alpha-1%2C2-mannosidase	100	123	122	69	120	101	125	56	43	202	292	215	138	88	55
ID=fig|823.92.peg.3892;Name=Alpha-1%2C2-mannosidase	74	217	212	117	178	153	183	108	104	254	353	262	176	134	82
ID=fig|823.92.peg.3893;Name=Two-component system sensor histidine kinase	154	104	82	34	46	30	38	28	68	110	120	122	98	110	41
ID=fig|823.92.peg.3894;Name=Cytidylate kinase (EC 2.7.4.25);Ontology_term=KEGG_ENZYME:2.7.4.25	37	41	43	29	38	18	41	12	24	42	89	88	40	37	18
ID=fig|823.92.peg.3895;Name=Beta-glucosidase (EC 3.2.1.21);Ontology_term=KEGG_ENZYME:3.2.1.21	93	87	79	14	31	40	35	40	42	51	69	85	77	99	42
ID=fig|823.92.peg.3896;Name=beta-glucosidase (EC 3.2.1.21);Ontology_term=KEGG_ENZYME:3.2.1.21	2	10	10	5	16	6	18	2	4	19	15	17	19	8	2
ID=fig|823.92.peg.3897;Name=beta-glucosidase (EC 3.2.1.21);Ontology_term=KEGG_ENZYME:3.2.1.21	2	4	6	0	8	6	10	4	2	14	9	22	8	6	8
ID=fig|823.92.peg.3898;Name=FIG00406930: hypothetical protein	2	4	3	0	0	0	0	0	2	6	10	9	3	6	0
ID=fig|823.92.peg.3899;Name=Co-activator of prophage gene expression IbrA	1	6	3	4	6	2	0	0	0	10	4	7	16	0	2
ID=fig|823.92.peg.3900;Name=Co-activator of prophage gene expression IbrB	5	2	5	6	6	0	0	0	0	6	12	6	4	0	2
ID=fig|823.92.peg.3901;Name=hypothetical protein	16	26	33	10	34	25	37	12	15	40	36	39	39	28	8
ID=fig|823.92.peg.3902;Name=hypothetical protein	0	0	1	0	0	1	1	0	1	4	0	1	1	0	0
ID=fig|823.92.peg.3903;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
